company_id,care,kind,tidy,various,wide,reasonable,pose,advice,parking,class,GX
1,,,,,,,,,,,
2,,99,96,44,14,25,84,53,,72,29
3,,25,22,20,17,10,10,8,8,6,5
4,,,,,,,,,,,
5,,30,32,29,9,8,13,16,2,10,3
6,,7,8,4,4,4,4,3,3,3,1
7,,,,,,,,,,,
8,,10,15,14,8,3,7,6,2,6,
9,,,,,,,,,,,
10,,,,,,,,,,,
11,,,,,,,,,,,
12,,,,,,,,,,,
13,,11,5,4,2,4,1,2,,1,1
14,,,,,,,,,,,
15,,33,21,8,1,9,23,21,,19,2
16,,,,,,,,,,,
17,,,,,,,,,,,
18,,19,9,4,2,23,5,6,1,,2
19,,,,,,,,,,,
20,,11,5,7,8,6,8,8,2,5,4
21,,5,8,5,3,3,5,,,2,1
22,,,,,,,,,,,
23,2,29,25,21,4,10,7,14,,6,1
24,,44,41,15,,16,28,29,1,18,1
25,,10,4,4,3,8,,3,1,,
26,,,,,,,,,,,
27,,,,,,,,,,,
28,,5,15,,1,1,,,3,,
29,,32,20,19,9,14,26,21,1,21,4
30,,,,,,,,,,,
31,,6,4,10,4,2,,3,3,,2
32,,24,20,15,6,8,19,16,1,20,
33,,,,,,,,,,,
34,,,,,,,,,,,
35,,,,,,,,,,,
36,3,15,15,9,2,8,14,11,2,13,
37,,25,22,20,17,10,10,8,8,6,5
38,,16,13,16,4,3,8,7,2,8,2
39,,,,,,,,,,,
40,,,,,,,,,,,
41,,,,,,,,,,,
42,,,,,,,,,,,
43,,,,,,,,,,,
44,,,,,,,,,,,
45,18,12,8,3,1,7,19,11,,15,
46,,,,,,,,,,,
47,,,,,,,,,,,
48,,33,26,22,18,,,18,,,
49,16,16,11,4,1,4,15,13,,9,
50,,133,106,81,57,30,129,90,73,107,36
51,74,90,79,10,1,46,96,38,,77,
52,,22,22,19,5,7,15,21,9,21,6
53,,,,,,,,,,,
54,,27,26,23,8,2,23,14,2,17,3
55,,24,18,11,1,10,22,18,2,14,2
56,,,,,,,,,,,
57,,26,22,10,3,16,22,18,1,15,1
58,,,4,,,3,,,3,85,
59,25,20,5,3,,,23,14,,20,
60,,,,,,,,,,,
61,41,52,32,9,1,25,55,21,1,41,
62,10,14,12,7,,1,14,6,1,13,
63,,,,,,,,,,,
64,,,,,,,,,,,
65,16,22,10,3,,,20,13,,15,
66,,,,,,,,,,,
67,,17,17,9,8,1,14,6,,9,
68,,,,,,,,,,,
69,,9,11,4,3,4,4,4,1,5,
70,41,52,32,9,1,25,55,21,1,41,
71,,36,31,18,6,17,24,20,,20,9
72,,,,,,,,,,,
73,,16,19,14,9,13,2,9,10,5,6
74,41,52,32,9,1,25,55,21,1,41,
75,,15,13,10,8,15,6,3,1,7,1
76,,,,,,,,,,,
77,46,251,240,62,38,52,201,160,2,184,
78,,,,,,,,,,,
79,12,14,10,4,4,4,12,11,1,14,
80,,44,24,12,4,19,42,23,3,37,4
81,,,,,,,,,,,
82,,,,,,,,,,,
83,,,,,,,,,,,
84,46,51,48,11,9,8,49,20,,46,
85,,,,,,,,,,,
86,,,,,,,,,,,
87,2,23,13,7,,4,19,3,,16,1
88,15,15,7,8,,6,18,10,,14,
89,,,,,,,,,,,
90,13,9,7,4,,1,12,8,,9,
91,73,68,57,8,1,5,77,31,,60,
92,,,,,,,,,,,
93,,,,,,,,,,,
94,,,,,,,,,,,
95,46,251,240,62,38,52,201,160,2,184,
96,2,23,13,7,,4,19,3,,16,1
97,,67,62,7,1,13,62,42,,48,1
98,,,,,,,,,,,
99,12,21,13,12,1,5,18,9,2,14,
100,12,13,5,4,4,9,17,14,4,10,
101,,,,,,,,,,,
102,,,,,,,,,,,
103,0,335,335,226,79,235,79,210,29,61,20
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0
107,0,17,16,15,8,10,7,10,1,4,2
108,0,0,0,0,0,0,0,0,0,0,0
109,0,16,13,9,5,11,11,8,4,10,2
110,0,0,0,0,0,0,0,0,0,0,0
111,0,112,75,95,70,67,34,65,11,29,12
112,14,30,29,33,24,6,20,0,9,22,0
113,0,28,21,24,4,6,18,20,1,11,1
114,0,0,0,0,0,0,0,0,0,0,0
115,0,74,59,63,55,20,67,44,16,58,12
116,0,24,28,18,9,22,6,15,5,2,2
117,0,6,3,4,1,1,0,2,3,1,2
118,0,21,19,21,11,18,2,10,10,2,4
119,0,0,0,0,0,0,0,0,0,0,0
120,0,21,19,21,11,18,2,10,10,2,4
121,0,21,19,21,11,18,2,10,10,2,4
122,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0
124,0,6,4,1,2,5,0,0,0,1,2
125,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,0,0,0,0,0,0,0
129,0,50,31,10,3,36,53,35,0,31,1
130,18,15,12,5,6,2,23,13,3,22,0
131,0,0,0,0,0,0,0,0,0,0,0
132,0,67,68,63,35,24,21,62,28,27,46
133,0,0,0,0,0,0,0,0,0,0,0
134,14,14,7,5,0,3,18,9,0,12,0
135,0,0,0,0,0,0,0,0,0,0,0
136,0,0,0,0,0,0,0,0,0,0,0
137,0,0,0,0,0,0,0,0,0,0,0
138,0,0,0,0,0,0,0,0,0,0,0
139,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0
141,16,12,11,3,0,0,16,9,2,14,0
142,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0
144,0,19,22,20,14,22,1,9,3,1,3
145,0,0,0,0,0,0,0,0,0,0,0
146,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0
151,0,0,0,0,0,0,0,0,0,0,0
152,0,156,151,144,122,87,59,95,8,52,33
153,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0
155,0,33,29,16,12,28,3,6,0,6,12
156,0,0,0,0,0,0,0,0,0,0,0
157,3,15,14,3,1,0,14,10,0,14,0
158,0,128,94,109,30,30,117,83,10,97,9
159,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0
161,0,149,125,106,67,85,19,58,3,19,11
162,25,27,29,4,0,0,16,24,0,18,0
163,8,94,87,66,51,22,45,65,10,37,0
164,0,37,46,28,6,13,20,24,6,16,3
165,0,15,16,9,3,10,9,6,4,5,3
166,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0
168,88,91,96,47,10,16,110,45,23,97,0
169,8,16,14,11,3,1,14,3,0,8,0
170,0,0,0,0,0,0,0,0,0,0,0
171,0,0,0,0,0,0,0,0,0,0,0
172,0,72,69,37,14,18,58,49,4,59,3
173,0,0,0,0,0,0,0,0,0,0,0
174,0,17,20,8,1,4,23,14,0,22,1
175,0,11,12,7,2,9,8,5,0,2,1
176,0,0,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,0,0
178,20,13,23,7,4,4,18,7,3,14,0
179,0,0,0,0,0,0,0,0,0,0,0
180,,,,,,,,,,,
181,,17,14,12,7,12,9,8,4,6,2
182,,,,,,,,,,,
183,,37,24,,,59,,,6,,
184,,,,,,,,,,,
185,20,86,75,42,17,55,71,59,11,67,
186,,,,,,,,,,,
187,,65,62,46,35,31,40,37,8,33,8
188,,25,8,19,11,8,24,13,4,20,5
189,,,,,,,,,,,
190,,,,,,,,,,,
191,,21,14,9,9,9,,5,3,,1
192,,,,,,,,,,,
193,,8,3,4,7,5,3,1,1,1,
194,,,,,,,,,,,
195,,,,,,,,,,,
196,,5,5,4,1,,1,1,,,
197,,22,10,14,5,10,10,11,2,5,2
198,,,,,,,,,,,
199,,41,2,6,,29,37,42,,17,4
200,,,,,,,,,,,
201,,,,,,,,,,,
202,,,,,,,,,,,
203,,19,19,8,3,11,11,8,,5,1
204,,,,,,,,,,,
205,,,,,,,,,,,
206,36,42,35,11,6,2,49,22,6,39,
207,,,,,,,,,,,
208,,,,,,,,,,,
209,,26,15,18,6,15,15,14,,6,5
210,,,,,,,,,,,
211,,,,,,,,,,,
212,,,,,,,,,,,
213,,,,,,,,,,,
214,,83,88,78,30,18,76,56,,52,9
215,,117,111,62,21,66,48,87,,28,8
216,,48,49,45,15,26,32,21,,20,5
217,,7,6,5,1,6,8,7,,7,1
218,50,57,61,9,3,6,62,19,,52,
219,,,,,,,,,,,
220,,41,2,6,,29,37,42,,17,4
221,,33,29,22,12,10,28,22,5,26,1
222,,,,,,,,,,,
223,,,,,,,,,,,
224,,,,,,,,,,,
