,idx,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40
0,2,수업,출근,피드백,스트레스,다이어트,자존감,헬스장,초보,짜증,골격근,러닝,복습,근육,통증,커리큘럼,초보자,가르치다,운동,트레이너,러닝머신,운동 원리,운동 터득,헬스장 찾다,매번 헬스장,근육 문제,헬스장 하다,운동 습관,종찬쌤 운동,운동 방법,여운 트레이너,주시 운동,운동 싶다,운동 스트레칭,헬스장 운동,수업 운동,운동 스트레스,운동 궁금하다,선생님 운동,운동 복습,운동 가르치다
1,20,감사,통원,피곤,교정,측정,혈액,시설,요구,케어,수업,쾌적,열심,근육,체력,기부,헬스장,치료,트레이너,운동,트레이닝,헬스장 가깝다,음으로 운동,트레이너 사과,주변 헬스장,사람 운동,헬스장 과실,체계 트레이닝,트레이너 태도,다른 헬스장,달다 운동,헬스장 찾다,트레이닝 키다,헬스장 넓다,중량 운동,여러 운동,운동 등록,운동 내용,운동 키다,헬스장 들다,열심 운동
2,23,제공,괜찮다,밝다,시설,초보,깔끔하다,합리,편하다,헬스장,관리,만족,러닝머신,가르치다,즐겁다,친절,청소,깨끗,운동,쾌적,청결,생기 즐겁다,들다 친절,체적 청소,운동 싶다,밝다 인사,청결 여서,운동 하다,만족 하다,때문 운동,쾌적 근처,운동 피티,기구 깨끗,거리 깔끔하다,밝다 청결,쾌적 공간,청결 힘쓰다,괜찮다 운동,깨끗 관리,시설 깨끗,깨끗 운동
3,24,열심,친절,헬스장,여름,바쁘다,이재성,감사,동기부여,체력,가르치다,경험,운동복,편리,애용,재미,유용,쾌적,초보자,트레이너,운동,트레이너 초보자,시설 깔끔하다,다가 운동,운동 한지,남녀 공용,헬스장 처럼,운동 하다,때문 운동,헬스장 하다,쾌적 시설,헬스장 유의,열심 운동,운동 욕구,운동 여성,경험 운동,분만 운동,운동 흥미,쾌적 여성,운동 재미,편하다 운동
4,25,서비스,상세,적합,인권,최고,같다,즐겁다,합리,관리,장점,이용,상쾌,고치,전문성,감사,친절,애용,깨끗,청소,쾌적,스트레칭 하다,친절 하다,크다 장점,좋다 건대,가격 같다,좋다 인권,시설 좋다,샤워실 청소,제일 좋다,차다 좋다,풍경 좋다,청소 되어다,없다 좋다,최고 운동,장점 건대,친절 전문성,합리 가격,쾌적 시설,상쾌 환경,시설 깨끗
5,50,예쁘다,케어,덕분,재밌다,까다롭다,가르치다,요가,감사,자신감,트레이너,특훈,청결,편리,재미,힐링,어렵다,감탄,칭찬,성실,효과,난이도 상중하,레슨 덕분,비싸다 같다,운동 가르치다,항상 피드백,운동 자극,특훈 해주시,시설 깨끗,친절 성실,서비스 만족,주시 운동,진짜 운동,맞춤 운동,뿌듯하다 칭찬,마사지 까지,운동 재밌다,체적 만족,요가 싸다,즐겁다 운동,만족 운동
6,52,근력,목표,실적,프로그램,관심,접근성,원리,수업,지식,자극,분석,기능,헬스장,치료,러닝머신,체육관,가르치다,트레이너,운동,트레이닝,레슨 하다,즐겁다 운동,모두 운동,운동 병행,운동 즐겁다,운동 진심,놓다 운동,운동 가면,운동 하다,근력 수업,부적 가르치다,열심 운동,들르다 운동,깔끔하다 운동,다양 러닝머신,운동 지식,가르치다 열정,성의껏 가르치다,운동 싶다,운동 가르치다
7,54,고치,수업,세션,성공,동기부여,관리,격려,어렵다,신뢰,근력,효과,근육,헬스장,고생,요가,연습생,트레이너,운동,물리치료사,트레이닝,운동 라가,운동 이끌다,운동 되어다,트레이너 자세,절하 트레이닝,운동 동기부여,맞춤 운동,운동 자세,운동 열심,운동 감량,운동 올바르다,운동 하다,트레이닝 키다,운동 어떻다,운동 해주,담날 운동,운동 시킴,트레이너 열정,운동 고치,운동 이해도
8,58,넘치다,알다,짱짱,분위기,선생님,굿굿,최고,좋다,학원,만족,열정,운동,친절,즐겁다,수업,열심,사랑,재밌다,재미,가르치다,분위기 좋다,사랑 선생님,재밌다 어요,가르치다 줄다,최고 선생님,사랑 하다,운동 좋다,운동 정말,가르치다 좋다,입시 좋다,해주 재밌다,사랑 정말,정말 사랑,선생님 들다,수업 자세,가르치다 친절,가르치다 최고,자다 가르치다,수업 열정,넘치다 가르치다
9,59,식단,능률,경험,열정,집착,다이어트,체력,통증,근육,코칭,가르치다,체육,바쁘다,고생,코치,근육통,트레이너,운동량,운동,트레이닝,운동 되다,운동 검사,즐겁다 운동,유능 트레이너,운동 식단,늘다 운동,바르게 운동,운동 생활,운동 하다,운동 즐겁다,주시 운동,트레이너 운동,운동 싶다,유능 코치,운동 이해,운동 기대,덕분 운동,운동 수업,코치 열정,운동 가르치다
10,61,체험,동영상,경험,쇼핑,거울,헬스장,자존감,음식,코칭,채식주의자,재택근무,유튜브,초보자,영양,식단,운동,가르치다,다이어트,코치,트레이너,다이어트 다니다,체격 운동,운동 입문,피티 수업,운동 말씀,운동 영상,트레이너 하다,덕분 운동,덕분 다이어트,리다 트레이너,매일 식단,트레이너 님들,운동 취향,모멘트 트레이너,빠르다 다이어트,건강 운동,선생님 운동,트레이너 운동,주시 운동,다이어트 성공
11,71,경쟁,상담,어렵다,식단,경험,근육,효과,피드백,고착,케어,헬스장,효율,다이어트,커리큘럼,런닝머신,건강미,가르치다,트레이너,운동,트레이닝,헬스장 트레이너,흔하다 운동,트레이너 로서,운동 지식,통해 운동,운동 하다,운동 마냥,운동 식단,체적 커리큘럼,트레이너 스포,운동 방법,운동 요령,받다 운동,운동 효과,건강 운동,트레이닝 방식,헬스 트레이너,트레이너 교정,트레이너 운동,주시 운동
12,73,편하다,깨끗,차고,고마,적합,싶다,만족,무료,전하,덕분,같다,재밌다,친절,이용,건강,감사,최첨단,즐기다,편리,성공,야경 정말,라서 최첨단,시설 좋다,착하다 접근성,주차 편하다,편하다 지하철역,정말 좋다,정말 몸짱,한번 즐기다,정말 싸다,차고 좋다,접근성 좋다,좋다 지하가,적당 헬스장,트레이너 적극,친절 여직원,트레이너 피티,능력 좋다,최첨단 같다,경치 좋다
13,74,상담,도와주다,경험,채식주의자,쇼핑,체험,거울,자존감,음식,코칭,재택근무,유튜브,초보자,운동,영양,식단,다이어트,가르치다,트레이너,코치,트레이너 트레이너,트레이너 받다,용담 트레이너,트레이너 들다,트레이너 하다,매일 식단,덕분 운동,가다 트레이너,트레이너 님들,건강 운동,운동 취향,덕분 다이어트,피티 수업,빠르다 다이어트,리다 트레이너,트레이너 운동,트레이너 수업,모먼트 트레이너,주시 운동,다이어트 성공
14,75,성비,깨끗,운동,친절,성공,트레이닝,감사,기적,재미,덥다,에어컨,만족도,저렴,청소,트레이너,애용,편리,초보자,쾌적,강영훈,애용 하다,지다 트레이너,주시 강영훈,트레이너 정적,전문 트레이너,헬스 초보자,강영훈 피티,저렴 역다,운동 재미,쾌적 지다,맞춤 운동,정적 친절,가격 저렴,단순 수업,편리 트레이너,시설 깨끗,시설 깔끔하다,저렴 하다,깨끗 기구,깨끗 시설
15,77,가르치다,감사,응원,고맙다,인내심,코칭,운동,체험,트레이닝,편리,효율,자신감,트레이너,유용,재미,쾌적,칭찬,격려,성공,효과,주시 격려,트레이너 좋다,시설 훌륭하다,성공 등록,이번 효과,재미 운동,운동 열심,맞다 운동,최고 트레이너,합리 여성,다혜 트레이너,운동 싶다,열심 가르치다,트레이너 덕분,수업 좋다,트레이너 믿다,만큼 운동,사실 운동,확실 운동,편하다 운동
16,79,쾌적,접근성,매번,지속,지지,쉽다,수업,관리,케어,개선,헬스장,수강생,전문가,신뢰,커리큘럼,가르치다,코치,초보자,운동,트레이너,열심 운동,커리큘럼 중요,절하 가르치다,운동 자다,하다 가르치다,되어다 운동,트레이너 만나다,운동 키다,운동 진행,운동 되다,맞춤 운동,헬스장 었습,운동 하다,운동 반복,운동 지치다,자세 가르치다,똑같다 운동,운동 트레이너,트레이너 운동,운동 커리큘럼
17,80,가르치다,칭찬,재미,요가,효과,성공,쾌적,유쾌하,트레이너,코치,체력,식단,영양소,어렵다,다이어트,트레이닝,초보자,만족감,운동,자존감,짜다 운동,주시 운동,운동 고민,운동 효과,운동 꾸준하다,운동 흥미,운동 재미,트레이너 차근차근,재밌다 운동,부적 가르치다,운동 재밌다,운동 깨닫다,편하다 운동,착각 운동,다행 운동,즐겁다 운동,운동 즐겁다,덕분 운동,뿌듯하다 운동,운동 즐기다
18,84,최대한,같다,일지,자랑,감사,신뢰,배려,쾌적,전문가,갈릴,느껴,훈남,들어오다,감격,효과,성공,훈녀,성의껏,칭찬,반갑다,주시 같다,완벽 케어,같다 최고,트레이너 반갑다,트레이너 셨는데,전문가 배우,정말 추천,해주시 좋다,정말 감사,해주시 같다,쾌적 트레이너,밝다 인사,먼저 인사,요즘 같다,훈남 훈녀,성의껏 알다,트레이너 좋다,정말 최고,일지 매일,최고 같다
19,91,재미,칭찬,도와주다,치료,즐거움,복습,박수,효과,효율,러닝머신,코칭,체험,피드백,가르침,운동,트레이너,가르치다,코치,트레이닝,연습,상용 코치,박수 트레이너,알맞다 운동,운동 재미,운동 싶다,트레이너 운동,연습 하다,운동 흥미,트레이너 식단,코치 수업,재밌다 운동,진심 운동,운동 재밌다,즐겁다 운동,트레이너 차근차근,차근차근 가르치다,운동 즐겁다,트레이너 재밌다,코치 운동,정성 코치
20,97,운동복,직행,독려,헬스장,효과,다이어트,꿀팁,커리큘럼,운동,강은지,코칭,혜정,효율,가르치다,식이요법,초보자,어렵다,코치,트레이너,연습,주신 트레이너,상담 운동,일반 헬스장,트레이너 헬린,트레이너 직행,트레이너 원하다,트레이너 강력,트레이너 예쁘다,혜정 트레이너,피티 코치,트레이너 실력,쾌적 여자,운동 가르치다,트레이너 열정,최고 여성,트레이너 식단,트레이너 위대,트레이너 은희,여성 헬스장,여자 트레이너
21,99,깨끗,피드백,헬스장,친절,쾌적,덕분,감사,칭찬,청결,경험,직장,수업,체험,상담,성공,직장인,운동,트레이너,가르치다,트레이닝,다이어트 성공,상담 부터,햇슴다 트레이너,캐치 좋다,피티 체험,트레이너 자세,주시 트레이너,운동 추천,경험 운동,주시 운동,트레이너 트레이너,트레이너 덕분,트레이닝 받다,운동 이해,트레이너 트레이닝,트레이너 들다,자다 가르치다,가르치다 운동,직장인 상담,운동 가르치다
