company_id,review1,review2,review3,review4,review5,review6,review7,review8,review9,review10
1,,,,,,,,,,
2,"휘트니스피플 우먼 구의점??전하영??피티쌤 추천합니다 코로나로 체중이 늘어남과 동시에 30대에 들어서며 체력이 매우 떨어져 PT를 시작하게 되었습니다^^ 벌써 두 달이 지났네요 
두달 동안?하영쌤?과 운동하며 2년 동안 변화없던 몸무게에서 -4kg 체중감량 그리고 금요일에도 월요일과 같은 체력을 유지할 수 있게 되었고 퇴근 후 하영쌤과 운동하며 일할 때 받은 스트레스도 풀려 몸도 마음도 건강해졌습니다!
그래서 처음에는 PT30회를 끊고 시작했는데 
10회 차도 안되어서 추가 30회를 끊었습니다^^
운동을 정말 싫어하던 제가 체형이 변하고 몸무게가 변하고 체력이 변하는걸 경험하다보니 이제는 운동이 재밌어지기까지 했습니다. 다 하영쌤 덕분이에요??고민하시는 분이 있다면 하영쌤 추천합니다~ 후회 안하실거에요!!","헬스장 자체가 처음이어서 기구를 쓸 줄 몰라 헬린이 코스를 시작으로 지금의 시정 쌤 ????을 만나 무려 3달..? 정도를 PT 받으며 다니고 있습니다 ??운동하다 다치지 않게 정확한 자세와 근육 움직임을 알려주셔서 이해하기 쉽고 지치지 않게 옆에서 응원해주셔서 포기하지 않고 열심히 하고 있습니다 ????식단부터 개인 운동 방법까지 꼼꼼하게 관리해주셔서 너무 감사하고 좋습니다 ?? 헬스장이 너무 어렵게 느껴지시면 여성 전용, 다양한 GX 프로그램을 갖춘 휘트니스피플 구의점 너무 추천합니다 ?","체력 기르려고 운동 시작한지 2개월이 넘었네요. 운동은 힘들다는 생각에 담쌓고 살다가 ?신성훈쌤?을 만나 아주 즐겁게 운동하고 있어요!!
다칠까봐 혼자 운동 시작하기 무서운 것도 있었는데, 운동법은 물론이고 자극점이랑 원리 등 꼼꼼히 설명해 주시고 자세 잡아 주셔서 걱정없이 재미있게 배울 수 있었어요. 개인 운동 때 궁금하거나 부족했던 부분도 계속계속 채워 주시구요!
식단은 꾸준히 무리없이 할 수 있도록 피드백 주셔서 엉망이었던 식습관 제대로 잡고, 맛있게 잘 먹으면서 관리하고 있습니다ㅎㅎ
무엇보다 운동하면서 몸뿐만 아니라 마음도 많이 건강해졌어요. 한계라고 포기하고 싶을 때마다 옆에서 무한 응원+칭찬해 주시는 쌤.. 자존감 지킴이셔요?? 쌤 덕분에 운동해요!! 감사합니당 모두 피티하세요 강추강추??",탄탄한 몸을 만들고 싶어서 집 근처 헬스장 여기저기 알아보다가 구의역 바로 앞에 여성전용 헬스장이 있다길래 바로 상담받았어요! 상담도 친절하게 해주셨고 패키지 이벤트도 진행하고 있길래 1:1 PT 5회 먼저 진행해봤는데 혜민쌤이 체계적으로 커리큘럼 짜주시고 제가 기구 사용법 위주로 원한다고 말씀드리니 반영해서 잘 해주고 계세요~ 추가 20회 끊어서 열심히 다니고 있답니다>_< 근육 1도 없는 그냥 마른 몸이었는데 두달만에 복근 그림자가 보이기 시작하고 팔뚝에 근육(같은게ㅋㅋㅋ) 붙기 시작해서 넘 신기해요!!! 매일 식단도 공유하고 피드백받고 있는데 이것도 꼼꼼히 챙겨주셔서 도움되고 있어요~! ! 여성전용인것도 넘 편하고 시설들도 다 깨끗해서 좋네요,출근하고 나서 두달쯤 되니깐 살이 찌는게 느껴지더라구요ㅠㅠ그래서 집 근처 헬스장을 찾다가 여기로 오게 되었는데 시설도 깨끗하고 피티도 처음 받아 봤는데 선생님이 운동 할 때마다 자세랑 꼼꼼히 봐주시고 어디 부분이 자극이되고 운동이 되는지 자세히 알려주셔서 매번 재밌게 운동 하게 된거 같아용!!??운동을 처음 시작해보면 피티 받아보시는 것도 정말 좋은거 같아용 덕분에 운동에 흥미가 생기고 시간도 잘 가고 너무너무 좋았습니당!-!??,"코로나 지나고 체력이 너무 안 좋아져서 등록을 하게 됐습니다. 여성전용, 그리고 전체적으로 시설이 깨끗한 게 좋아서 선택하게 되었어요. 운동에 대해서 전혀 몰라서 처음에 5회 체험 피티로 시작해서 추가 등록하여 피티를 본격적으로 시작하게 됐습니다. 결론적으로는 피티 하기 너무 잘했다는 생각이 듭니다! 헬스장에서 운동하기 힘든 이유가 방법을 몰라서 헤매는거였는데 ??배지훈??쌤께서 친절하게 도와주셔서 지금까지 3개월 가량 열심히 운동하는 것 같습니다. 굉장히 친절하시고 차분하게 알려주셔서 좋습니다. 그리고 항상 지금 잘하고 있다고 응원해주셔서 더 마음 편하게 할 수 있는 것 같아요. 수업이 끝나고도 해야되는 운동, 개인운동 때 해야하는 운동을 말해주셔서 운동을 체계적으로 진행할 수 있었습니다. ??",지금까지 한번도 운동을 제대로 배운적이 없어서 런닝머신도 제대로 못뛰는 제가 운동을 매일매일 습관적으로 다니고 있네요^^ 자세도 꼼꼼히 봐주시고 어떻게 힘이 들어가는지 깨달아가게 해주신 유심현 트레이너’ 님께 감사드려요~???? 이제 두달째지만 벌써 몸이 변하는걸 보면서 뿌듯함을 느낍니다 ㅎㅎ 다이어트 화이팅..,"태어나서 처음하는 pt라 젤 걱정했던부분이피티쌤잘맞는분이길 바랬는데 전하영쌤???? 만나면서 등록하길잘했다는생각했어요!피티를망설였던 이유중 식단관리나 평소전혀운동을하지않는사람이라 운동이 과해서 스트레스 받진않을까 걱정했는데 괜한 걱정을 했었더라구요! 운동에 운자도 모르던 사람이였는데 기구이름부터 사용법,어디로힘을써야하는지 뿐만아니라 저에게 알맞게 세심히가르쳐주시고늘 칭찬해줘서 자신감 뿜뿜ㅎㅎ식단부분도 천천히 프로틴 먹는습관들이는 순서로 시작 해주셔서 전혀 스트레스 받지 않게 진행중인것같아요! 제가 운동에 흥미를 가지게되고 pt가는날을 기달리게 될줄은 몰랐어욬ㅋㅋㅋ10회등록했다가 하영쌤 매력에 빠져서 20회 더 추가 등록해버렸네요ㅎㅎ앞으로도 계속 즐겁게 운동할수있을것같아여정말하영쌤은완전 강추입니다!??????","불규칙 적인 생활을 하다보니까 몸,체력 전부안 좋아지고 살도 많이 쪄서 건강해지고 체력도 늘리려고 시작 했습니당 제가 당시에 허리도 안 좋아서 운동하기 더 힘들었는데??종찬쌤??덕분에 꾸준히 계속 할 수 있었던 거 같아요! 몸에 안 좋은 부분이 있는지 계속 체크 해서 무리 안 갈 수 있게 수업 해주시고 운동도 꾸준히 나올 수 있게 신경써주시고 식단이나 이런 것도 극단적으로 하는게 아니라 제가 꾸준히 할 수 있도록 맞춰서 해주셔서 지금까지 큰 스트레스 없이 계속 할 수 있었습니당! 
운동도 처음부터 천천히 잘 알려주셔서 어렵지 않게 배울 수 있게 설명도 잘 해주시고 성격도 엄청 좋으셔서 재밌게 운동하고 배울 수 있었어용!덕분에 지금까지 체중 감량도 많이하고 예전에 안 좋던 허리도 많이 좋아져서 너무 좋아요ㅠㅠ","인생 첫 피티시작한지 2달이 넘었네요. 더이상 운동을 미루면 안될것 같아 시작하기로 마음먹고 지인추천으로 여기 헬스장오게 되었는데 시설도 깔끔하고 좋고 무엇보다 저와 맞는 하영쌤을 만나서 너무 좋아요. 
??전하영?? 선생님께 피티받으면서 식단, 운동, 스트레칭 방법 등 여러가지를 배웠어요. 스쿼트, 런지 기본동작 뿐만아니라 기구사용법도 옆에서 직접 봐주시고 근육움직임을 느껴보라고 알려주셔서 이해가 잘 되더라구요. 
그리고 제 성향에 맞춰서 운동을 잘 이끌어주셔서 포기하지 않고 꾸준히 운동나올수 있었어요 ㅎㅎ 첫 만남때 믿고 따라오면 된다고 하셨던 말씀대로 열심히 따라가는 중입니다ㅋㅋ 
일단 운동은 시작해보세요~ 확실히 몸이 달라져요??"
3,"화양동 일대 주변에서는 가장 큰 규모의 헬스클럽. 접근성이 좋은 편이며, 주변 편의시설인 gs슈퍼마켓/화양시장/국민은행ATM기기/건대먹자골목이 연계되어 있는 것이 장점입니다. 일대가 20~30대 연령대가 많이 거주하는 지역이라 분위기가 타 휘트니스 클럽보다 young하고 활기찹니다. 무난한 선택이 될 수 있는 휘트니스 클럽이라고 봅니다.

다만 개인적으로 추가적으로 보완해줬으면 하는 상황
*이용빈도가 낮은 자전거 머쉰 1~2개, 극소수만 이용하는 기계는 오히여 빼내서 이동 공간을 넓게 확보
*샤워실은 샤워기 개수를 추후에 늘리는 구조변경이 이루지면 좋겠으며, 하수구 물빠짐이 더 원활하게 관리되면 좋겠습니다.",기구도 다양하고 깨끗해서 운동하기 쾌적 해여~ 건대에서 여러 헬스장 다녔었지만 여기가 제일 마음에 듭니다! 주차장도 넓고 바로 밑에 마트 있어서 프로틴 구매도 숴워여,시설도 깔끔하고 머신도 많아서 운동을 골고루 하기 좋습니다. 렉도 많아서 프리웨이트에도 좋아요~^^,"※ 개선사항 (장점도 많지만 400자제한)

1. 덤벨 노후화
1~5Kg 제외한 조립식 덤벨 상태가 전체적으로 좋지 않습니다. 예) 7kg 덤벨 레이즈시 양옆 고무가 같이 돌아감. 30kg 덤벨은 고무부분이 찢어지고 뜸.

2. 머신,그립 손잡이 및 원판 위생
타운케이에서 운동 끝나고 손보면 연탄만진것처럼 시커멓습니다. 그래서 운동 끝나면 항상 손소독제 사용합니다. 공용시설이기 때문에 이부분은 조금 신경 써주셨으면 좋겠습니다.

3. 뉴텍 토크 머신간 간격
원판을 끼우거나 뺄때 머신 사이의 간격이 좁아 매우 조심스럽습니다.(입구쪽 등2 숄더1) 특히 숄더 사용중 부딪힌 경우도 있어서 간격 조절이 필요해보입니다.

4. 랫풀다운 맥그립
맥그립 손잡이 부분 고무가 찢어지고 벗겨져 당길시 손 고정이 안됩니다.",다들 착하시고 친절하세요!! 특히 힙운동기구가 많아서 좋아용 !!,"(꾸준히는 아니지만) 2년째 다니고있습니다!!
시설이 넓어서 쾌적하고 무엇보다 대표님이 헬스장 시설개선이 관심이 많으신것 같아요 
처음온 이후로 샤워실도 리모델링하시고 매달 새로운 헬스기구가 들어오는 것 같습니다 

주변에 다른 헬스장도 다녀봤는데 진짜로 여기가 제일 낫습니다 가격이 제일 저렴한 헬스장은 아니지만 시설이 무척 좋아서 만족스럽습니다",파워랙이 무려 다섯개에 공간도 진짜 넓어요 헬스인들의 성지b,시설이 깔끔하고 너무친절합니다 ㅎㅎㅎㅎ,"집이랑 제일 가까운점이 제일 좋아요
넓고 시설도 좋아요 
샤워시설도 잘 돼있어요 깨끗해요
그리고 친절하세요ㅎㅎ",자세도 엄청 자세하게 알려주시고 기구도 다양하고 쌤들 전부 친절하셔서 진짜 다니기 좋아요ㅠㅠㅠ 집 앞이라 그냥 가까워서 등록한건데 시설 보면 진짜..최고최고?? (무엇보다 쌤들 몸도 좋은데 이쁘고 잘생기셨어욬ㅋㅋㅋㅋ)
4,ㅋ,.,친절합니다,좋아요 ㅎㅎ,,,,,,
5,리뉴얼 전부터 사용하고 있었는데 리뉴얼 되고 헬스장 환경이 너무 더 좋아졌어요!! 유산소 존도 따로 있고 너무 좋아요??,"웨이트, 유산소존이 나눠져 있어서 집중해서 운동할 수 있고 기구가 다양해서 좋아요! 이번에 새로운 기구들도 많이 들어오고 무엇보다 깔끔하게 관리하시는 것 같아서 좋습니당?? PT수업도 10회 등록 후 꼼꼼하게 잘 봐주셔서 추가 등록했어요??","전체적으로 시설이 깔끔해요! 탈의실도 신경써서 관리하시는 것 같고, 샤워실이 1인실이라 프라이빗해서 좋아요?? 스트레칭 존에 폼롤러도 구비되어 있어서 운동 마무리까지 가능합니당 기구 종류도 엄청 다양한데, 사용법 마스터하는 그 날까지 열심히 운동 해보겠습니다..!","유산소 존과 웨이트 존의 공간을 나눠놓고, 프리웨이트와 머신을 나눠놓아 공간의 효율성이 좋습니다. 상담해주시는 분도 친절하고 좋아요!",기구도 정말 다양하고 유산소 스트레칭존도 진짜 깔끔하고 좋아요 ???????? 저는 최성준 선생님께 PT도 받았는데 개인적인 신체적 특징을 잘 고려해서 이에 맞게 수업을 너무 잘해주셨어요 ???????? 점점 나아지는 제 모습을 보면서 머슬H 다니기 정말 잘 했다는 생각이 들었어요 !!,"기구가 다양해서 좋았고, 등록할 때 상담해주신 선생님께서 친절하셨습니다. 당장은 체지방감량을 위한 유산소존만 이용할 예정인데, 다음에 수업을 듣는다면 이곳에서 받을 예정입니다!",시설 깔끔하고 지상에 있는 곳이라 운동하면서 덜 답답해요. 스트레칭 존에 두꺼운 매트 깔려있고 폼롤러도 여러개 있어서 마음에 듭니다.,트레이너분들 친절하시고 기구들도 깔끔하고 종류도 다양하네요 ~추천합니다 !,운동하기 너무 쾌적한 공간이고 깔끔해서 너무 좋습니다,시설도 깔끔하고 다들 친절하세요!
6,20대라면 누구나 한번쯤은 생각하는 버킷리스트 중 하나 바디프로필 맞죠? 평소에 운동을 좋아하기도 하고 주변 친구들도 바디프로필 많이 찍다보니 저도 모르게 관심이 많이 가더라구여 기존에 다니는 헬스장 담당자가 바뀌면서 다시 알아보고 시티짐으로 PT 이용했는데 마침 이벤트 중이라서 저렴하게 잘 다니고 있어요! >< 바디프로필 찍는 날 벌써 한달 남았는데 벌써부터 설레요 ㅎㅎ,운동이 처음이라 많이 미숙한데 꼼꼼하게 자세 봐주셔서 덕분에 기분 좋게 운동 하는 중이에요ㅠㅠ 항상 방문 할때 퇴근하고 방문해서 저도 모르게 지쳐 있을 때가 많은데 카운터에서부터 친절하게 인사해주셔서 넘넘 좋아요 :) 정말 시티짐 강추합니다~????,여름 맞이 피티 등록하고 왔어요! 여러 헬스장 많이 다녀봤는데 그냥 영업만 하시려고 하는 곳들이 많았는데 여기는 영업이 아닌 정말 저에게 맞는 필요한 운동법을 잘 알려주셔서 너무 좋아요!!! 여름휴가까지 약 2달정도 남았는데 그 전까지 열심히 해서 다이어트 성공할꺼에요 ㅋㅋㅋ,헬스장 한번도 안 다녀봤는데 친구가 다니는 곳이라 처음으로 이용했어요! 사실 처음에는 잘 할 수 있을까 걱정과 함께 기대도 많이 되었는데 기구들이 다양해서 하루하루 헬스 다니는 재미 붙여서 다니고 있어욬ㅋㅋㅋㅋㅋㅋㅋㅋ 헬스 3달 이용 끝나면 PT도 이용해볼까 고민 중이에요ㅎㅎ,"헬스장은 거의 안 가보고 여기가 두번째
헬스장 인데요. 
정말 기구도 좋고 깔끔하고 너무 좋습니다.
여기 근처에 사시는 분들은 진짜 축복 받으신거에요!!",우연히 인스타에서 보여 집 앞이기도 하고 헬스장 등록했어용 내부도 넓고 시설도 깨끗해서 잘 이용하고 있습니당 ㅎㅎ,요즘 몸이 자꾸 삐그덕거려서 찾아보다가 방문했는데 선생님이 꼼꼼히 봐주셔서 잘 하고 왔어요! 감사합니더!,"동네에서 몇군데 헬스장 다녀봤는데, 여기가 가장 깔끔하면서도 기구도 다양해서 계속 꾸준히 다니고 있어요~ 퇴근 이후 시간에도 심하게 붐비는것도 아니라 좋아요~^^ 가성비 좋은 곳입니다.",?? 좋아요,
7,,,,,,,,,,
8,"솔직히 센터 컨디션이나 기구 그런거 잘몰라서 쌤만보고 왔는데 센터 기구들도 좋은거고 샤워실도 깔끔하고 센터복도 괜찮았습니다! 

처음 피티 진행할때 허벅지 굵어지는거 싫고 엉덩이는 키우고싶다고 했는데 신경 써주셔서 만족했고, 운동할때 어는 근육에 힘이 들어가야하는지 하나하나 집어주셨습니당 전태수 선생님 최고!!","수입머신 45종 … 진심 이런헬스장 저는 처음봤자나요 헬스장계의 샤넬인가 진짜
다른곳은 하체기구 1개 있는데여긴 하체기구 10개..
중곡동 헬스, 아차산역 헬스 중 최고인듯해요!!
저는 약간 헬스장가면 나만보는??? ( ?? ??? )
알아서 눈치를 보게되고 녹슬고 기스나있는 기구는 하다가 다칠거같은 느낌이 들어 운동이 꺼려지더라구요 그런데 여기는 죄다 최신식!!!
레오샘께 피티 받았는데 완전최고입니다
피티는 레오샘!!",머신이 최최최고급이에요. 광진구 스케일 아닌거 같은 다른세상 클럽이라 운동할맛이 옴총 납니닷,"상담도 자세하고 친절하게 해 주시고, 기구도 다양하고 시설도 좋아서 운동 재밌게 할 수 있었어요:)",좋은기구 좋은머신은 다 여기 와있나요...? 시설 너무 깔끔해서 다닐맛 납니다 유산소존에는 다 비말차단기가 있어서 안심되구용 아몰라 아무튼 좋아요 재등록하러가야지,넓고 시설이 좋아요! 기구도 많고 유산소 칸막이가 다 되어 있어서 안심하고 운듕 가능하답니다!!,기구가 좋아요!깨끗합니다~,다양한 운동기구들도 많고 깔끔해요. 정리도 환기도 잘 되어있고 코스크 하시는 분들도 없어서 마음 놓고 운동할 수 있어 좋아요. 광진구에서 여기만한 헬스장은 없을거에요.,진짜 기구도 많고 피티쌤도 엄청 친절해서 좋아요♥♥ 제일 좋은건 프리웨이트존 진짜 빵빵하고 스트레칭존이 엄청 넓어서 좋아요!!!!,트레이너쌤이 친절하십니다!!!! ㅎㅎㅎㅎ 넓고 쾌적해서 좋아요
9,,,,,,,,,,
10,.,좋아요,그냥그래요.동네에 있는거라,비싸다.코로나인데,좋아요,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,굳굳,좋아요,"트레이너 쌤들도 친절하시고 개인운동 할 수있는 gx룸도 넓어서 좋아용 !!!헬스장 가는게 세상 싫었는데,,도완쌤 덕분에 운동에 재미를 찾았습니다 꺄호 강추엥욥????????",굿굿,운동하기 좋아요,운동하기 너무 편하고 트레이너쌤들도 친절해요! 전 여기서 PT받으려고 합니다!,굿,좋네요!,조아여,"연초에 다니다가 재등록하고 다니는데 코로나시점에 리모델링을 해서 참 합리적으로 운영한다 생각하였고, 훨씬 쾌적하고 넓어진 늒낌! 승생님들도 친절하고 이벤트 피티인데돞 잘 알려주셔서 아주 맨족합니다!! 보라색 조명 너무 아름다워요. 번창해세요!"
14,깨끗하고 좋아요,좋아요,굿,엄청 좋았습니다.,친절해요,가깝고 깔끔해요,사장님이 정말 친절하세요. 라떼 큰사이즈도 팔아서 굿. 여기 커피 먹고 면접 합격한거 같아서 기분이 좋네요 ??,라떼가 맛있어요- 원두도 선택 가능합니다,깨끗해요,좋아요
15,"처음 운동을 시작해서 어설프게 혼자 운동하다 자세 잘 못 잡고 습관 들이면 다칠까 봐 ..! 첫 pt를 추선호쌤이랑 함께 했는데 수업 20회 동안 정말 많은 것도 알려주시고 편하게 수업 이끌어주셔서 좋았어요! 

무엇보다 개인 운동할 때도 다치지 않고 안전하게 기구 잡고 내려오는 법 .. 이런 섬세한 방법까지 알려주시는 .. ㅎㅎ 저같은 헬린이들은 겁내지 마시고 추쌤에게 운동 배우시면 후회 안 하실 겁니당","운동 꾸준히 하는 헬린이에요!!
아마 쇠질좀 했다하는 분들이라면 저랑 비슷하게 원판들 정리가 잘되어있는지, 사람들 에티켓은 좋은편인지 같은걸 볼거같은데~ 나만그런가? ㅋㅋ

 아무튼 가격대비 기구도 좋고 인포 선생님 분들도 진짜 단순히 친절한게 아니라 저포함 모든 사람들을 진심으로 챙겨주고 돈으로 보는게 아니라는게 느껴져서 재등록 했어요 ㅎㅎ

솔직히 옆에 스포애니 가볼까 했다가?! 일이만원에 운동 어색하게 할바에 전 여기서 쭉 하렵니다 ~~ 그리고 지금 확장공사 하시는데 더 넓어지기를 기대할게요 ㅋㅋㅋㅋ 계속 여기 있어주세요!!",추선호 트레이너님께 수업 받고 있는 회원입니다! 수업때 아주 다양한 루틴으로 저의 의지를 불태워주시고 제 운동 능력치를 최대로 올려주시려는 ??뜨거운??열정에 매번 감동 받습니다! 의지박약이신 분들 추쌤을 찾아주세요 분명 운동이 재밌어지실거에요????,헬스장만 끊으면 런닝머신만하고 집에가는 경우가 많았는데 트레이너 주영쌤 만나면서 운동에 재미도 붙이고 체력도 많이 좋아졌어요!!! 저의 스승님????짱짱먄!!! 저는 PT 자체가 부담이였는데 쌤한테 수업받지 않았다면 후회가득했을꺼에요?? 벌써 2번째 연장이네요!!! 주영쌤덕분에 제가 헬스랑 친해지게되고 운동하는 방법을 배우면서 욕심도생기고 오기도 생기더라구요! 앞으로도 계속 쌤한테 수업받으려구요!! 빡운동 하고싶으시다면 오세요!!!!!!!!??,평일 마지막 타임으로 운동 하는데 늘 재미있게 알려주시는 추선호PT쌤?? 몸이 말을 잘 안듣는데 자세 잡아주시고 잘 풀어주고 거기에 맞게 운동도 알려주셔서 재미있게 운동 하고있어여!! 감사합니다??,리모델링 확장 너무 좋아요 !센터 측에서 더 쾌적하게 운동 할 수 있는 환경을 신경 써주시는 것 같아요??,너무 열심히 잘 가르쳐주시고 환경도 좋아요. 추선호 쌤 너무 좋아요!!ㅎㅎ,친절하셨습니다. 등록했어요,너무 좋아요.~ 친절하셨습니다,"운동이 무료해졌을 때여서, 피티 도움을 받으려고 등록했습니다! 시설도 깔끔하고 체계적으로 관리가 잘 되어있어요! 추선호pt쌤이 잘 이끌어주셔서 운동하는게 너무 즐거웠어요! 연달은 수업으로 힘드셨을텐데 매 시간 에너지 넘치시고, 수업시간동안 회원들의 잠재력을 최대한으로 이끌어주시려는 모습에 감동받았습니다:) 감사합니다!"
16,,,,,,,,,,
17,여러가지 배울수가 있어요,다시 시작할 수 있어 행복합니다.,직원분들도 친절하시고 수영을 겁없이 할수있게 가르쳐주셔서 좋습니다:),월수금 수영 좋아요,코로나 이후 첫 수영 기대됩니다,문화센터 수영 좋아요 사람은 많구요,바이올리수업 기대되네요,여러 프로그램이 저렴해서 좋아요,문화센터 좋은곳,운동 열심히 하여 건강유지 잘할거 같아요
18,저렴한 가격에 등록했어요 신규 등록시 무료피티 1회까지!,가격이 싸고 운동하기 좋다 조금 아쉬운 점은 기구가 많이 없다,저렴하고 좋아요,운동쉬다 오랜만에 다시 등록했는데 좋음,"저렴하지만 있을건 다 있는 헬스장이에요. 직원분들도 엄청 친절하세요~! 유산소존 무산소존 나뉘어져 있고, 매트 깔고 맨몸운동 할 수 있는 공간도 마련되어 있어 좋습니다. 평일 밤 늦은 시간에도, 주말에도 저녁까지 운영해서 좋아요.",??,굿,굿,굿,굿
19,골프 연습장. 경로 우대 받아 2시간에 4800원으로 정말 저렴하니 좋아요,광진구에서 운영하는 곳이라서 좋아요,건강해지려고 열심히 필라테스 해요. 구청에서 할인도해주고. 감사감사^^,"합리적인 가격, 코로나에 좋은 환경",가깝고 다양한 운동있거 좋아여,저렴해요,깔끔하고 운동하기 좋아요!,좋아요,간단하게 운동하기좋아요,좋아요
20,"첫 등록은 리뷰 대충 남겼는데 재등록하며 이번엔 좀 자세히 리뷰 남겨요! 
이전에 여러 운동 등록만 하고 결국 안나가게되면서
기부 많이 하고 다녔는데 ㅠㅠㅋㅋㅋ 
여기서 처음으로 꾸준히 운동해봅니다
처음에 무료 피티가 있어서 부담없이 시작할 수 있었어요 다시 리뷰 쓰는 날 올 때까지 또 열심히 운동 !!!!",주변 헬스장보다 넓어서 많은 사람이 운동해도 쾌적합니다.,조아요,좋아요,PT받으실분들 여기 강추 합니다! 여타 다른 헬스장 들이랑 다르게 상담 할때부터 달라요 인바디 로만 상담하는 다른 헬스장 과 다르게 체형분석기 로 불균형도 측정해서 체계적으로 트레이닝 시켜줍니다 저도 골반이 틀어져있었던 사실을 여기서 알고 5달전에 PT등록 했다가 요번에 재등록 다시 했네요 수업 받고 끝이 아니라 이후에 카톡으로도 케어 끝까지해주시고 수업 했던 내용 정리해서 보내 주시는 꼼꼼함 까지 .. 돈이 아깝지 않을 만큼 만족 했습니다!,거북목 교정 받으러 갔었는데 어깨개 더 말려있단 사실을 알고 둘다 교정 받음.. 여기서 거북목 타파함 ㅋㅋㅋ 시설도 깔끔 하고 좋음 bb,평소에 혈액순환도 잘 안되고 체력도 떨어져서 근처 헬스장 찾다가 등록 했어요 반신욕 있다는 거 가 아주 좋은거 같에요!! 헬스장 도 넓고 쾌적해서 맘에 들었어요 아 그리고 그룹PT도 있어서 1:1PT가 부담인 분들이 하시면 좋을거 같아요!,굿,운동 기구가 엄청 많고 넓어요. 무료pt도 완전 만족합니다. 5층 싸이클존에 햇살도 잘 들어오고 좋은 것같아요,굿
21,필라테스 수업은 좋고 가격도 싼데 인포 직원들.. 말잇못^^,기구도 다양하고 좋았어요!,가격이 갠찮아요 등운동 기구는 생각보다 별루 없네요,수업 도중 자세가 틀어진 부분을 잘 잡아주십니다!,시설이 좋아요,기구도 다양하고 동선 깔끔합니다~! 추천추천!,필테 선생님이 너무 친절해요 ??,Good!,가성비 최고,무엇보다 가까운 곳에 있어서 좋네요! 담에도 이용하러 갈께요~
22,"처음 방문해서 헬스 이용하게 되었어요ㅎㅎ
시설도 좋고 기구도 다양해서 운동하기 좋고
상담해주신 트레이너 선생님께서 엄청 친절하게 설명해주셔서 좋았습니다^^
아차산역 5번출구에서 조금만 걸어 내려오면 있어서퇴근하고 운동하기에도 좋습니다^^
아차산 능동근처에 사신다면 휘트니스 트리에서 운동하는거 추천드립니다????????
득근득근!!????","역이랑 가까워서 좋아요~!
기구들도 다양하고, 테라스가 있어서
운동하다가 답답하면은 나가서 바람쐬고 들어온답니당ㅋㅋ
가성비 최고의 헬스장??",일단 위치가 아차산역에서 정말 가까워요 최고! 시설도 쾌적하고 깔끔해서 이용하기 너무 좋아요ㅎㅎ 무엇보다 사장님이 너무 친절해서 갈때마다 기분좋고 편하네요~,집에서 가까우니 좋아요,,,,,,
